Block group,Median_hh_income,age_perc,race_eth
60014277001,130417,35.66433566,60.06036217
60014277002,86719,17.58957655,53.64856976
60014277003,164500,15.7239232,46.1430575
60014277004,124083,13.76554174,54.3601359
60014278001,99634,24.91749175,56.22435021
60014278002,95417,23.15270936,33.20235756
60014278003,84063,28.21917808,54.25790754
60014278004,75231,15.34090909,54.81557377
60014278005,137781,15.23625844,55.234375
60014279001,100162,23.80952381,59.11485774
60014279002,250000,14.6234676,39.38596491
60014279003,101583,17.5170068,47.67759563
60014279004,127961,34.30379747,51.54185022
60014279005,78333,17.00680272,54.18719212
60014280001,53365,4.794520548,75
60014280002,93750,32.90884718,65.22801303
60014280003,96902,15.215311,63.56513222
60014281001,196563,31.57552083,45.68421053
60014281002,112000,31.63784334,45.20123839
60014281003,84226,17.49795585,49.56822107
60014281004,98922,10.37383178,50.94527363
60014282001,74609,39.09502262,45.42372881
60014282002,91490,43.26018809,50.60814384
60014282003,56118,33.14326443,58.69037995
60014282004,113828,9.484690067,51.97693575
60014282005,140179,19.40199336,42.60249554
60014283011,199962,16.78206396,64.93083808
60014283012,156058,14.58531935,65.18518519
60014283013,192045,24.85089463,67.18322698
60014283014,189875,27.35191638,76.29716981
60014283021,234447,15.29029931,70.90909091
60014283022,169643,35.43505675,61.67400881
60014283023,147679,35.24590164,53.06807287
60014284001,103558,24.54666077,55.80270793
60014284002,47188,20.56277056,65.11627907
60014284003,87073,15.12784091,56.81973955
60014285001,106250,24.81327801,66.69085631
60014285002,201339,38.70967742,48.7881981
60014285003,103774,14.57142857,58.69565217
60014286001,103646,34.13089374,66.71299514
60014286002,104191,24.92697176,58.85655947
60014287001,204375,17.58923952,80.95238095
60014287002,19000,17.26354454,75.10094213
60014287003,83152,25.77833126,56.98458574
60014301011,164643,26.54402102,68.4811828
60014301012,164958,25.49751244,72.19581749
60014301013,235208,22.39685658,63.91437309
60014301014,215000,23.3557047,81.9782062
60014301021,161932,31.19338322,46.92518606
60014302001,214181,24.6514222,47.88154897
60014302002,143958,9.036144578,60.22646851
60014302003,135568,30.43062201,54.40158259
60014302004,178359,35.62962963,50.03441156
60014302005,115982,23.0964467,50.60498221
60014303001,173947,26.31874299,47.34328358
60014303002,143068,22.37237237,56.5767285
60014303003,147625,26.35270541,50.69508804
60014304001,193750,22.37827715,54.7920434
60014304002,175357,29.8951049,44.86830154
60014305001,98191,16.66666667,70.68631252
60014305002,65804,19.16273585,74.42970822
60014305003,106641,20.34795764,73.8630137
60014306001,169827,25.50058893,52.25903614
60014306002,141513,32.22748815,69.33438986
60014306003,137411,23.0292599,63.3980252
60014306004,141513,29.22222222,52.91375291
60014307001,111094,24.56978967,50.35294118
60014307002,120057,17.36183525,60.80691643
60014307003,90000,23.05764411,57.94831637
60014308001,125291,22.92237443,59.95260664
60014308002,85302,23.95833333,56.31691649
60014308003,118015,21.69265033,61.77248677
60014308004,90824,16.01382488,69.32515337
60014309001,105344,26.25368732,67.25581395
60014309002,85671,22.70450751,75.76832151
60014309003,105904,18.24020552,73.74517375
60014310001,61976,26.71394799,68.65248227
60014310002,93021,17.40166865,71.92147531
60014311001,109625,20.32019704,71.55612245
60014311002,88617,11.22625216,70.08633824
60014312001,113438,25.62154696,51.99516324
60014312002,93864,17.07048458,71.34805073
60014312003,104432,18.87490748,62.95493934
60014321001,117228,10.88867188,68.7332977
60014321002,146250,18.82893226,65.33101045
60014321003,194007,28.51485149,49.7277677
60014322001,64702,22.04261572,73.42519685
60014322002,90938,24.52830189,65.97600872
60014322003,108750,17.69790719,65.40469974
60014323001,107917,9.821428571,82.32462173
60014323002,125096,16.85575365,77.98594848
60014323003,151587,22.71587245,82.26620101
60014324001,77273,23.11165846,91.47286822
60014324002,90380,19.40356313,79.91694979
60014324003,68939,15.77287066,86.6359447
60014325011,88056,24.58001768,85.65153734
60014325012,97132,19.55271565,90.74626866
60014325013,85625,18.65443425,83.26164875
60014325021,89083,17.15481172,89.05018664
60014325022,162426,30.83778966,86.08695652
60014325023,80741,8.860759494,89.37238494
60014326011,71875,33.24006715,75.22824102
60014326012,79290,10.32679739,84.49355433
60014326021,113819,27.12765957,71.99453552
60014326022,68784,17.55780347,81.36117556
60014326023,105889,20.12927054,79.98317914
60014327001,163500,16.64145234,44.1108545
60014327002,54901,29.03225806,69.29411765
60014327003,140781,18.76854599,65.5720339
60014328001,129250,21.18088097,56.03557814
60014328002,138841,41.39194139,68.43800322
60014328003,128981,22.01901975,74.64309993
60014330001,152976,22.65402844,65.71699905
60014330002,94779,26.31038027,78.17371938
60014330003,94184,20.84805654,75.73529412
60014330004,86250,43.03797468,78.8981289
60014331021,122542,22.65372168,86.79817906
60014331022,99612,26.2810756,85.51467163
60014331031,67727,19.36392915,87.25019984
60014331032,68674,7.242798354,89.3220339
60014331041,47917,22.69503546,80.11299435
60014331042,63333,10.53435115,83.83110196
60014331043,62139,29.07588279,78.71308947
60014332001,85938,11.74530695,84.94117647
60014332002,32927,21.06179286,87.02635914
60014332003,31208,11.89710611,88.7040887
